link|block
"Про це повідомляє телеканал &laquo;112 Україна&raquo;.
&laquo;Нам вдалося з'ясувати, що документ вже прибув до України і наразі знаходиться під охороною&raquo;, &mdash; повідомила кореспондентка каналу.
Вона додала, що вранці 7 січня томос буде розміщено у Софії Київській&nbsp;для проведення урочистого богослужіння. Протягом певного часу доступ до томосу вірянам буде обмежено.
Після того, як богослужіння відбудеться, документ буде перенесено до трапезного храму Софії Київської, де всі охочі зможуть його побачити.&nbsp;
Нагадаємо, Україна офіційно отримала Томос про автокефалію православної церкви.читайте також: Українців чекає аномально тепла зима: прогноз на два місяці"|103
Про це повідомляє Time з посиланням на королівський палац Малайзії, пише Громадське.У заяві палацу від 6 січня йдеться, що 49-річний правитель зрікається престолу короля Малайзії, рішення набуває чинності негайно. Це вперше в історії країни король зрікся престолу за власним бажанням.У Малайзії король обирається голосуванням Ради правителів дев'яти штатів терміном на 5 років. Король Мухаммад V був обраний на престол 15-го короля у жовтні 2016 року.На початку листопада минулого року Мухаммад V тимчасово відійшов від виконання обов'язків нібито задля лікування.За даними російських і британських ЗМІ, у цей час він одружився на 25-річній російській моделі Оксані Воєводіній, яка у 2015 році перемогла на конкурсі краси &laquo;Міс Москва&raquo;.читайте також: Українців чекає аномально тепла зима: прогноз на два місяціУ соцмережах та у ЗМІ були оприлюднені численні фото весілля, яке, за попередніми даними, відбулось у Москві. Ні король, ні палац, ні уряд країни офіційно не підтвердили факт одруження.CONGRATULATIONS YDPA SULTAN MUHAMMAD V , MENJUJUNG KASIH TUANKU ! pic.twitter.com/FGxal2kuBI&mdash; Nursafhia (@Nursafhia1) November 23, 2018Читайте також: На Богоявлення у Португалії діти палять цигарки.|104
"Дорожньо-транспортна пригода трапилася сьогодні, 6 січня, близько 13.10 на автодорозі ""Київ &ndash; Чоп"" неподалік села Ясенів у Бродівському районі.
Про це повідомили у прес-службі ГУ НП у Львівській області.
Як попередньо встановили правоохоронці, зіткнулись&nbsp; легковик &laquo;Форд Фієста&raquo; та мікроавтобус &laquo;Форд Транзит&raquo;.
Внаслідок зіткнення тілесні ушкодження отримали семеро осіб, четверо з яких - діти. Одна з травмованих, неповнолітня дівчинка, померла дорогою до лікарні, іншим медики встановюють діагнози. Особисті дані учасників ДТП уточнюються.
На місці події працює слідчо-оперативна група, поліцейські регулюють рух транспорту.
Обставини ДТП встановлюються, вирішується питання про відкриття кримінального провадження.
Читайте також: Дніпро: дівчину, яку знайшли мертвою&nbsp;у валізі, опізналичитайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше години"|105
"Про це пише ВВС.
Він став уже третім високопоставленим чиновником Міністерства оборони США, який подав у відставку після рішення Трампа вивести американські війська з Сирії.&nbsp;
&laquo;Час повертатися у приватний сектор&raquo;, &mdash; написав Суіні у заяві про звільнення.
Він також зазначив, що для нього &laquo;було честю служити&raquo; разом з його колегами. Водночас, про президента США Дональда Трампа згадки не було. Посаду голови апарату Пентагону Суіні займав з січня 2017 року.
Нагадаємо, США передадуть Україні торпедні судна і ракети, які зможуть вражати російські судна.читайте також: Українців чекає аномально тепла зима: прогноз на два місяці"|106
"Про це повідомила&nbsp;прес-служба 6 Флоту США на сторінці у Twitter, передає Український мілітарний портал.Цей корабель може розмістити на своєму борту до півтисячі морських піхотинців. Для їх висадки на борту передбачено розміщення десантних кораблів на повітряній подушці LCACs (до 5 одиниць) або десантних катерів LCM-6s (до 21 одиниці).Також на борту корабля розміщений майданчик для посадки та зльоту повітряних суден типу гелікоптер чи конвертоплан.Десантний корабель USS Fort McHenry (LSD-43)Його короткі технічні характеристики:читайте також: В Україні заборонили одразу 5 ліків від тиску, знеболювальне, вітаміни та препарат для ШКТВодотоннажність: 16 100 тоннДовжина: 186,0 метрівШирина: 26,0&nbsp;метрівОсадка: 5,0&nbsp;метрівЕкіпаж: 22 офіцери 391 морякШвидкість: 22 вузлиДесантомісткість: 504 бійцівОзброєння:&nbsp;2&times;25-мм Mk 382&times;20-мм Phalanx CIWS6&times;12,7-мм M2 Browning2&times;RIM-116 Rolling Airframe Missile22-а морська експедиційна група (англ. 22nd Marine Expeditionary Unit (22nd MEU) є однією з семи морських експедиційних груп, що існують в морській піхоті США . Це робоча група морської піхоти з чисельністю близько 2200 осіб.Читайте також: В ПЦУ попередили&nbsp;про можливі провокації, які мають створити ""картинку"" для російських медіа"|107
"Вселенський патріарх Варфоломій&nbsp;нагородив очільника Верховної ради України Андрія Парубія орденом. Про це повідомив прес-секретар голови ВР Андрій Ковальов, передає кореспондент РБК-Україна.Так, Парубія було нагороджено за багатолітню і послідовну боротьбу за автокефалію Православної церкви в Україні.""Вселенський патріарх Варфоломій нагородив голову Верховної ради України Андрія Парубія орденом Вселенської патріархії - Орденом хреста Святого Андрія Первозванного за багатолітню і послідовну боротьбу за автокефалію Православної церкви в Україні"", - розповіли в прес-службі.Додамо, що про отримання ордену спікер українського парламенту також поінформував у своєму Facebook.читайте також: Палестинські бойовики обстріляли Ізраїль: уже 108 жертв""Для мене велика честь, що патріарх Варфоломій удостоїв мене церковної нагороди - хрестом святого Андрія Первозванного у цей великий день у святому місці"", - прокоментував Парубій.Читайте також: Муфтій України привітав православних з отриманням томосу"|108
"Прес-служба штабу ООС повідомляє, що у період з опівночі до 18:00 порушень режиму припинення вогню з боку бойовиків не зафіксовано.
&laquo;Протягом поточної доби, у період з 00:00 до 18:00, порушень режиму припинення вогню з боку російських окупаційних військ не обліковано&raquo;, &mdash; йдеться у повідомленні
Українські військові продовжують надійно контролювати ситуацію на лінії зіткнення, дотримуючись умов припинення вогню, наголосили у штабі.
Нагадаємо, на окупованому Донбасі бойовики заблокували роботу патрулів ОБСЄ.читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше години"|109
"Знімком у соціальній мережі Twitter поділився український дипломат Василь Кирилич.&nbsp;""У той час, коли на Фанарі підписували Томос, в Карпатах над Верховиною з&lsquo;явилося гало/німб навколо Сонця. Це - знак добра і єднання. Нехай так і станеться"", - написав дипломат.&nbsp;У той час, коли на Фанарі підписували #Томос, в Карпатах над Верховиною з&lsquo;явилося гало/німб навколо Сонця. Це - знак добра і єднання. Нехай так і станеться. pic.twitter.com/mhF3Np2fRz&mdash; Vasyl Kyrylych (@VasylKyrylych) January 6, 2019читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалаціюГало &mdash; оптичне явище в&nbsp;атмосфері, що виникає внаслідок заломлення та відбиття&nbsp;світла&nbsp;в льодяних кристалах. Найчастіше спостерігається в&nbsp;перисто-шаруватих хмарах, рідше&nbsp;&mdash; за інших умов.&nbsp;В Україні гало можна спостерігати 70-120 разів на рік, але воно переважно малопомітне. Яскраве й добре помітне гало з'являється 10-20 разів на рік.Читайте також: Перша різдвяна зірка: яке світило з'являється на небі у Святвечір"|110
"Про це він заявив у неділю в промові під час богослужіння у церкві Святого Георгія в Стамбулі, частину якої наводить ""Громадське"".""Сьогодні розпочинається нова сторінка в історії України. Константинопольська церква, яка таким саме способом дарувала еклезіастичний статус автокефалії всім новим заснованим церквам, сьогодні дарує її вам. Сьогодні, офіційно та канонічно, ви стаєте 15-ю церквою у благословенному хорі автокефальних церков"", - сказав Варфоломій.За його словами, ""зима минула"" для схизми та розділення, ""дощ скінчився та канув"" для еклезіастичної ізоляції.""Як свідчать архівні джерела та події, що відбувалися, ті, що були у минулому, та теперішні, йдеться не лише про те, що віряни Києва коли-небудь вважали себе частиною Церкви Москви. Вже від 1325 року (тоді була заснована кафедра митрополита у Москві, до того вона була у місті Владимир &mdash; ред.), коли митрополія Києва була тимчасово передана Москві, віряни в Києві прагнули еклезіастичної незалежності &mdash; це бажання не зникло протягом століть і перетворилося на потужне та непереборне бажання їхньої душі"", - зазначив Вселенський патріарх.читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше годиниСаме тому, за його словами, перша конституція України гетьмана Пилипа Орлика, яка з&rsquo;явилася у 1710 році, зазначила, що ""Православна церква України має залишатися під святим апостольським престолом у Константинополі"".""Отже, враховуючи беззаперечні та непохитні історичні свідчення, ми звичайно взяли до уваги постійні запити дарувати автокефалію і в частині ієрархії, і в питанні статусу"", - наголосив Варфоломій.Нагадаємо, Україна офіційно отримала Томос про автокефалію православної церкви."|111
"У Міністерстві закордонних справ Росії заявили, що не бачать причин порушувати питання про обмін Пола Вілана, якого звинувачують в шпигунстві, на росіян, заарештованих в інших країнах, повідомив заступник глави відомства Сергій Рябков, передає Інтерфакс-Росія.&nbsp;""Ситуація з громадянином США і низки інших країн Полом Віланом розвивається в суворій відповідності до вимог нашого законодавства, а також відповідно до наших двосторонніх зобов'язаннь, що стосуються забезпечення консульського доступу до громадянина зазначених країн"", - зазначив він.Перед цим депутат верхньої палати російського парламенту Олег Морозов назвав Пола Вілана кандидатом для обміну на росіян, заарештованих в США - Віктора Бута і Марію Бутину.Бута в США засудили до 25 років в'язниці за торгівлю зброєю, а Бутину звинувачують в незаконному лобізмі.читайте також: Слідство встановило організаторів і замовників вбивства ГандзюкНагадаємо, що ФСБ повідомила про&nbsp;затримання Вілана 31 грудня і заявила, що той проводив шпигунські акції. Родичі американця кажуть, що він приїхав в Росію на весілля свого друга.5 січня в МЗС РФ повідомили про затримання американцями громадянина Росії на Північних Маріанських островах."|112
"Очільник NASA Джим Брайденстайн вирішив скасувати візит директора ""Роскосмосу"" Дмитра Рогозіна до США через позицію американських сенаторів.&nbsp;Про це глава космічного відомства США розповів в опублікованому в суботу інтерв'ю газеті The Washington Post.""Ми чули від безлічі сенаторів, що це [запрошення Рогозіну відвідати США] не надто хороша ідея"", - сказав Брайденстайн. ""І я прагнув діяти відповідно до інтересів сенаторів, тому я скасував запрошення"", - додав він, передає ТСН.&nbsp;За даними The Washington Post, раніше йшлося про перенесення візиту на невизначений термін, однак згодом у NASA остаточно скасували його.читайте також: Знайшли мертвим батька відомого футболістаЧитайте також: Космічний зонд NASA успішно пройшов повз Край світуЗа словами Брайденстайна, ідея запросити директора ""Роскосмосу"" до США була спробою ""зберегти міцні робочі стосунки, які трималися осторонь від геополітики і навіть партійних розбіжностей усередині США, і це було добре для обох країн"". На його думку, це було б ""добре і для всього світу, коли країни, у яких є розбіжності з безлічі інших речей, можуть співпрацювати в космічній сфері"". Брайденстайн додав, що не консультувався з Білим домом, коли запрошував Рогозіна до США, а також не консультувався і тепер, коли скасував це запрошення.&nbsp;Зауважимо, що Рогозін був одним з десятків росіян, проти яких були введені санкції ще адміністрацією президента США Барака Обами за участь в анексії Криму. Санкції включають заборону на в'їзд в США і заморожування певних активів, що знаходяться в банках США.&nbsp;"|113
"У Миколаєві невідомі зі зброєю пограбували залу ігрових автоматів, в результаті інциденту поранений співробітник закладу. Про це повідомляє&nbsp;РБК-Україна&nbsp;з посиланням на поліцію&nbsp;Миколаївської області.Повідомляється, що вранці двоє невідомих у масках зайшли до&nbsp;зали ігрових автоматів, яка&nbsp;знаходиться в житловому будинку. Нападники вимагали гроші, погрожуючи пістолетом. Працівник закладу спробував чинити опір, проте йому вистрілили в ногу, після чого забрали гроші і втекли на автомобілі ВАЗ-2106 червоного кольору.За даними місцевих ЗМІ, нападники поранили власника ігрової&nbsp;зали. Потерпілого забрала ""швидка"".На момент інциденту в залі знаходилися також охоронець, касир, ще один працівник і два відвідувача.""Обидва злочинця були одягнені у темний одяг, невисокого зросту, один худорлявої статури, другий - міцної статури"", - йдеться в повідомленні.читайте також: Українців чекає аномально тепла зима: прогноз на два місяціЗа фактом нападу порушено кримінальну справу за статтею ""розбій"", в області ввели операцію ""Сирена"".Читайте також: На Тернопільщині шестеро людей отруїлися чадним газом"|114
На думку авторів дослідження, потрібно враховувати, що після розлучення батько чи мати не зникає з життя дитини.Також на добробут дітей впливають інші фактори, окрім присутності двох батьків. Наприклад, підтримка бабусі і дідуся, яка частіше трапляється в сім'ях лише з батьком або матір'ю, пише Громадське.&nbsp;Інформацію для дослідження збирали з 2009 до 2017 року. Для цього опитали 27 834 сімей Великої Британії.Також у межах свого дослідження науковці з'ясували, що впродовж шести років одна з трьох сімей прийде до розлучення в певний момент, а кожен сьомий батько-одинак чи мати-одиначка одружиться і почне жити з кимось.Читайте також: Під час розлучення у Каліфорнії стане важче поділити домашніх улюбленцівчитайте також: Українців чекає аномально тепла зима: прогноз на два місяціДослідження показало, що батько-одинак чи мати-одиначка отримують на 15 % більше матеріальної допомоги і на 4% більше користуються допомогою родичів за доглядом за дитиною.В Україні у 2017 році 3 мільйони дітей мають неповні сім&rsquo;ї, повідомляє міністр юстиції Павло Петренко.Уряд схвалив проект змін, які&nbsp;зрівнють батьків у праві&nbsp;на неповний робочий час.|115
"Про це повідомляє прес-служба ДСНС.
""За даними Укргідрометцентру, 6 -7 січня, у зв&rsquo;язку зі снігопадами та хуртовинами, у високогір&rsquo;ї Івано-Франківської та Закарпатської областей, у горах Львівської області очікується значна сніголавинна небезпека (3 рівень)"", - йдеться у повідомленні.
Нагадаємо, через снігопади можуть обмежити рух на дорозі Рівне-Львів.читайте також: Знайшли мертвим батька відомого футболіста"|116
"Про це йдеться у повідомленні на сторінці аеропорту в Facebook.
""6 січня 2019 о 10:23 повітряне судно (ПС) Boeing 737-800 з бортовими номером TC-JVI авіакомпанії Turkish Airlines, яке здійснювало рейс за маршрутом Львів-Стамбул, при здійсненні розвороту на ЗПС в районі 8 РД частково викотилось за межі ЗПС із наступною зупинкою ПС.
Було оголошено аварійну тривогу та підрозділи АРК прибули на&nbsp;місце події. Жодний з 59 пасажирів та 6 членів екіпажу, які перебували на борту ПС, в результаті інциденту не постраждав"", - йдеться в повідомленні.
Повітряне судно також не зазнало значних пошкоджень.Читайте також: На Тернопільщині шестеро людей отруїлися чадним газомчитайте також: Знайшли мертвим батька відомого футболіста"|117
Прем'єр-міністр Великобританії Тереза Мей може знову скасувати остаточне голосування в парламенті по угоді про&nbsp;вихід Британії з Євросоюзу&nbsp;(Brexit). Про це повідомляє РБК-Україна з посиланням на&nbsp;Reuters.Це відбувається менш ніж за три місяці до того, як країна повинна покинути Європейський союз.За даними британських ЗМІ, помічники Мей розробляють план, щоб члени парламенту схвалили угоду за умови, що Європейський союз надасть додаткові поступки.Читайте також: Макрон вважає, що Brexit&nbsp;з угодою 25 листопада є найкращим варіантомчитайте також: В Україні заборонили одразу 5 ліків від тиску, знеболювальне, вітаміни та препарат для ШКТЦей крок був спрямований на те, щоб допомогти обмежити масштаби опозиції в парламенті, надавши більше часу для продовження переговорів з лідерами ЄС.Раніше в грудні 2018 року Мей була змушена відкласти ключове голосування за планом виходу Британії з ЄС, який вона погодила з іншими лідерами Євросоюзу. Усвідомивши глибоку опозиції з боку її власної Консервативної партії та інших груп у парламенті Мей перенесла голосування 15 січня 2019.Зазначимо, що Британія повинна покинути ЄС 29 березня незалежно від того, укладена угода з Євросоюзом чи ні. Угода була погоджена між прем'єр-міністром Мей і ЄС, але вона повинна пройти голосування депутатів у парламенті, перш ніж буде прийнята.|118
"Про це повідомляє у неділю Синодальне управління військового духовенства ПЦУ в Facebook.""До Синодального управління військового духовенства Православної Церкви України надходить інформація від військових священиків (капеланів) з різних регіонів України про те, що, начебто, від імені &laquo;Правого Сектору&raquo; організовуються провокації на релігійному ґрунті.&nbsp;Організатори даних провокацій закликають застосувати силу до вірян та кліриків РПЦ в Україні. Провокації мають відбуватися на камери для створення медійної картинки &laquo;гонінь&raquo; та &laquo;релігійної війни&raquo; в Україні, про які постійно говорять у кремлівських ЗМІ.Закликаємо бути пильними, не піддаватися на провокаційні дії ворога. Не даймо агресору зіпсувати свято українцям у ці історичні дні - отримання Томосу про автокефалію Православної Церкви України"", йдеться у дописі.читайте також: Палестинські бойовики обстріляли Ізраїль: уже 108 жертвЧитайте також: Климент: Ми не будемо проводити богослужіння з новою церквою"|119
Про це&nbsp;повідомляє сайт прокурора&nbsp;Лос-Анджелеса Майка Фойера, інформує&nbsp;УНН.Як&nbsp;стверджує прокурор, програма без повідомлення користувачів збирає їх&nbsp;особисті дані і&nbsp;передає інформацію третім сторонам, в&nbsp;тому числі рекламодавцям. Компанія TWC Product and Technology, власник і&nbsp;оператор додатку, таким чином вводить користувачів в&nbsp;оману, заявив він.Читайте також: Хакери оприлюднили особисті дані сотень німецьких політиківУ&nbsp;поданій до&nbsp;суду скарзі йдеться, що&nbsp;TWC протягом багатьох років збирала інформацію про місцезнаходження своїх користувачів за&nbsp;допомогою засобів геолокації не&nbsp;тільки для того, щоб надавати їм&nbsp;точний прогноз погоди. TWC передавала ці&nbsp;дані філіям своєї материнської компанії IBM і&nbsp;іншим &ldquo;в&nbsp;комерційних цілях, не&nbsp;пов&rsquo;язаних з&nbsp;погодою&rdquo;. &ldquo;Дані про місцезнаходження користувачів можуть бути використані для визначення щоденних звичок, переваг і&nbsp;особливостей споживачів&rdquo;,&nbsp;&mdash; вважає влада.читайте також: Палестинські бойовики обстріляли Ізраїль: уже 108 жертвПолітика конфіденційності компанії прописана нечітко і&nbsp;вводить в&nbsp;оману, оскільки користувачам потрібно прочитати документ з&nbsp;майже 10&nbsp;тисяч слів, щоб дізнатися, що&nbsp;інформація про їх&nbsp;місцезнаходження може передаватися &ldquo;партнерам&rdquo; &ldquo;для надання таких послуг, як&nbsp;бізнес-операції&rdquo;, йдеться в&nbsp;документі .Прокуратура просить суд засудити TWC до&nbsp;штрафу в&nbsp;розмірі до&nbsp;2,5 тисяч доларів за&nbsp;кожен випадок порушення і&nbsp;заборонити займатися подібною практикою.У&nbsp;IBM не&nbsp;погодилися з&nbsp;претензіями,&nbsp;повідомляє CNN. Там запевнили, що&nbsp;TWC завжди була відкрита в тому, що&nbsp;стосується інформації про місцеперебування користувачів, і&nbsp;має намір захищати свої інтереси.|120
В місті Мукачево на Закарпатті 5 січня 18-річний&nbsp;хлопець втратив зір при запуску салюту.Про це повідомляє місцеве видання&nbsp;Mukachevo.net.Трагедія сталася під ранок, близько 4:30.&nbsp;Як розповідають медики Мукачівської лікарні, молодого хлопця доставили у лікарню у важкому стані, згодом його трохи стабілізували.Лікарі діагностували у нього множинні рани обличчя, розрив лівого ока, та сильну&nbsp;травму&nbsp;правого ока. Опіки обличчя, опіки слизової, та волосяного покрову. Також забій головному мозку.читайте також: Палестинські бойовики обстріляли Ізраїль: уже 108 жертвЙого відправили до обласного центру. Там зазначили,&nbsp;що ліве око не вдалось врятувати, а праве має глибоку контузію, тобто гемофтальм та помутніння кристалика. Він практично нічого не бачить, лише світло.Хлопець розповідає, що нагнувся підпалити аби підпалити салют,&nbsp; а той вистрілив йому з 20-30 сантиметрів просто в лице.&nbsp;Нагадаємо, у&nbsp;Харкові чоловік втратив кисть руки через феєрверк.|121
"Землетрус магнітудою 6,1 стався біля берегів Аляски в суботу, 5 січня, повідомляє Геологічна служба США.&nbsp;Епіцентр підземних поштовхів розташовувався біля берегів штату в 129,5 кілометрах від міста Адак на однойменному острові з населенням 332 людини, передає Кореспондент.&nbsp;
Читайте також: У Грузії стався землетрус&nbsp;Відомостей про постраждалих, загрози цунамі чи руйнування не надходило.читайте також: Українців чекає аномально тепла зима: прогноз на два місяці"|122
Професійне об&rsquo;єднання, до&nbsp;якого входять кілька десятків провідних американських кіноекспертів, назвало головною картиною року фільм &ldquo;Вершник&rdquo; (The Rider) китайської постановниці Хлої Чжао (справжнє ім&rsquo;я&nbsp;&mdash; Чжао Тін), передає&nbsp;УНН&nbsp;з&nbsp;посиланням на&nbsp;видання&nbsp;The Hollywood Reporter.Прем&rsquo;єра цієї американської стрічки відбулася в&nbsp;травні 2017 року на&nbsp;Канському кінофестивалі. Однак в&nbsp;прокат в&nbsp;США вона вийшла лише через рік, у&nbsp;зв&rsquo;язку з&nbsp;чим кінокритики, згідно зі&nbsp;своїми правилами, віднесли її&nbsp;до&nbsp;2018&nbsp;року. Картина розповідає про молодого американського ковбоя і&nbsp;дресирувальника коней, який змушений залишити свою кар&rsquo;єру після серйозної травми голови.Читайте також: Порошенко рекомендує 7 фільмів, які варто переглянутиНа&nbsp;друге місце в&nbsp;списку кращих фільмів року члени NSFC поставили чорно-білу драму мексиканського режисера Альфонсо Куарона &ldquo;Рома&rdquo; (Roma). Ця&nbsp;картина, що&nbsp;розповідає історію звичайної мексиканської сім&rsquo;ї середнього класу в&nbsp;1970-х, в&nbsp;минулому році була удостоєна головного призу Венеціанського кінофестивалю. На&nbsp;третьому місці розташувалася південнокорейська стрічка Лі&nbsp;Чхан-дона &ldquo;Палаючий&rdquo; (Burning), прем&rsquo;єра якої відбулася на&nbsp;минулорічному кіноогляді в&nbsp;Канні.читайте також: Українців чекає аномально тепла зима: прогноз на два місяціКращим актором року критики назвали Ітана Хоука, який зіграв головну роль у&nbsp;фільмі Пола Шредера &ldquo;Щоденник пастиря&rdquo; (First Reformed), а&nbsp;кращою актрисою&nbsp;&mdash; британську виконавицю Олівію Колман (&ldquo;Фаворитка&rdquo;, The Favourite). Кращим режисером визнаний Куарон за&nbsp;постановку &ldquo;Роми&rdquo;. Мексиканець, який на&nbsp;зйомках своєї драми вперше особисто встав за&nbsp;камеру, також відзначений критиками за&nbsp;операторську роботу.&ldquo;Рома&rdquo; була також названа членами NSFC кращим іноземним фільмом року, обійшовши &ldquo;Холодну війну&rdquo; польського режисера Павла Павліковського, &ldquo;Магазинних злодюжок&rdquo; японця Хірокадзу Корееди і&nbsp;&ldquo;Палаючого&rdquo;. За&nbsp;кращий сценарій відзначені Армандо Іаннуччі, Девід Шнайдер і&nbsp;Йен Мартін, які написали текст до&nbsp;картини &ldquo;Смерть Сталіна&rdquo; (The Death of&nbsp;Stalin).|123
"У житловому будинку на проспекті Будівельників у Маріуполі ввечері, 5 січня, прогримів вибух, імовірно, гранати. За попередньою інформацією, загинули дві людини, повідомляє місцеве видання&nbsp;0629.&nbsp;Інцидент стався у квартирі на третьому поверсі. За словами очевидців, вибух був чутний в інших мікрорайонах міста, а один із загиблих перед смертю з вікна кликав на допомогу.
Читайте також: На Тернопільщині у ДТП загинуло двоє людей, зокрема &ndash; дитина&nbsp;На місці працюють вибухотехніки, поліція, військові і медики. Обставини події уточнюються.&nbsp;У прес-службі поліції в Донецькій області підтвердили факт НП. У Маріуполі в житловій квартирі пролунав вибух, йдеться в повідомленні відомства.&nbsp;Правоохоронці зазначили, що виклик у поліцію надійшов о 21:20. На місці працює слідчо-оперативна група.читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше години"|124
"Вселенський патріархат надав&nbsp;томос&nbsp;Православній&nbsp;церкві України
Про це повідомляє кореспондент Укрінформу в Туреччині.
Вселенський патріарх Варфоломій передав Томос Митрополиту Київському і Всієї України Епіфанію.
Як повідомлялося, Вселенський патріарх Варфоломій у суботу, 5 січня, підписав Томос про автокефалію Православної церкви України.Згідно з цим документом, Вселенський патріархат проголошує створену в межах України автокефальну&nbsp;Церкву&nbsp;своєю духовною донькою з кафедрою у Києві.Нагадаємо, оприлюднено текст томосу про автокефалію української церкви.&nbsp;читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалацію"|125
"Про це повідомляє кореспондент Укрінформу в Туреччині.Початок церемонії заплановано на 8.15 &nbsp;(тут і далі час вказано за Києвом - ред., у Стамбулі - + 1 година).Українська делегація на чолі з Президентом України Петром Порошенком прибуде до Вселенського патріархату о 8.00 та візьме участь в Урочистій церемонії освячення води в храмі святого Георгія.Як відомо, сьогодні православні західного обряду відзначають свято Богоявлення (Водохреща), тому після вручення Томосу та божественної літургії відбудеться церемонія освячення води у затоці Золотий Ріг. Початок церемонії об 11.30.читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше годиниНагадаємо, Вселенський патріарх Варфоломій у суботу, 5 січня, підписав Томос про автокефалію Православної церкви України.Згідно з цим документом, Вселенський патріархат проголошує створену в межах України автокефальну&nbsp;Церкву&nbsp;своєю духовною донькою з кафедрою у Києві."|126
